source_center,destination_center,trip_count,median_delay_ratio,mean_delay_ratio,p90_delay_ratio,pct_delayed,median_actual_time,median_osrm_time,median_distance_km,median_delay_min,ftl_share,is_chronic,corridor_id,delayed_trips,sla_contribution_pct,intervention
IND000000ACB,IND562132AAA,4968,1.5,1.7628664863359145,2.7777777777777777,0.8065619967793881,31.5,20.0,27.04485,10.0,1.0,1,IND000000ACB__IND562132AAA,4007,3.354232762156687,scheduling_optimisation
IND562132AAA,IND000000ACB,3316,1.4666666666666666,1.7057905970102405,2.635789473684211,0.8027744270205066,32.0,20.0,26.85975,9.0,1.0,1,IND562132AAA__IND000000ACB,2662,2.228342304182955,scheduling_optimisation
IND000000ACB,IND712311AAA,2820,1.6470588235294117,1.9669602682577296,2.941503267973856,0.9024822695035462,29.0,17.0,24.4239,11.0,1.0,1,IND000000ACB__IND712311AAA,2545,2.1304023907384,scheduling_optimisation
IND000000ACB,IND421302AAG,1614,1.6470588235294117,1.8168083031501816,2.539166666666667,0.8866171003717472,32.0,20.0,27.1002,12.0,1.0,1,IND000000ACB__IND421302AAG,1431,1.1978804798218663,scheduling_optimisation
IND000000ACB,IND501359AAE,1633,1.588235294117647,1.9319949554522,3.0709359605911333,0.8224127372933252,32.0,19.0,26.7923,11.0,1.0,1,IND000000ACB__IND501359AAE,1343,1.1242162714191242,scheduling_optimisation
IND421302AAG,IND000000ACB,1266,1.6956521739130437,1.8821179985687693,2.775252525252525,0.9107424960505528,34.0,19.0,26.6317,13.0,1.0,1,IND421302AAG__IND000000ACB,1152,0.9643314554540812,scheduling_optimisation
IND781018AAB,IND110037AAM,1137,1.7586206896551724,2.1067785833154025,3.5595307917888555,0.8830255057167986,36.0,21.0,29.1829,15.0,1.0,1,IND781018AAB__IND110037AAM,1004,0.8404416504131056,scheduling_optimisation
IND421302AAG,IND562132AAA,1126,1.5294117647058822,1.794259227186989,2.538157894736842,0.8756660746003553,29.0,18.0,24.67035,10.0,1.0,1,IND421302AAG__IND562132AAA,986,0.8253739714216356,scheduling_optimisation
IND000000ACB,IND600056AAB,1013,1.619047619047619,1.836951907390956,2.768325791855204,0.843040473840079,32.0,19.0,26.6957,12.0,1.0,1,IND000000ACB__IND600056AAB,854,0.7148776588175221,scheduling_optimisation
IND421302AAG,IND110037AAM,965,1.6666666666666667,1.9862906429364124,3.125,0.8715025906735752,34.0,19.0,26.4837,13.0,1.0,1,IND421302AAG__IND110037AAM,841,0.7039954462125715,scheduling_optimisation
IND000000ACB,IND411033AAA,1112,1.5,1.6391864436052437,2.44375,0.7347122302158273,29.5,19.0,25.6348,9.0,1.0,1,IND000000ACB__IND411033AAA,817,0.683905207557278,scheduling_optimisation
IND562132AAA,IND302014AAA,974,1.625,1.7747270967666755,2.5537500000000013,0.8213552361396304,32.0,19.0,26.49205,12.0,1.0,1,IND562132AAA__IND302014AAA,800,0.669674621843112,scheduling_optimisation
